oci,citing,cited,creation,timespan,journal_sc,author_sc
060310295-062303590987,omid:br/060310295,omid:br/062303590987,2018-08-24,,yes,yes
060310296-062303590987,omid:br/060310296,omid:br/062303590987,2018-08-24,,yes,yes
060317952-06104030704,omid:br/060317952,omid:br/06104030704,2019-03-28,,yes,yes
060317953-06104030704,omid:br/060317953,omid:br/06104030704,2019-03-28,,yes,yes
0603926665-06180334360,omid:br/0603926665,omid:br/06180334360,2015-05-26,P2Y0M16D,no,no
0603926682-06103146176,omid:br/0603926682,omid:br/06103146176,2018-12-07,P18Y,no,no
0603926682-06160449684,omid:br/0603926682,omid:br/06160449684,2018-12-07,P5Y7M18D,no,no
0603927919-0640196445,omid:br/0603927919,omid:br/0640196445,2017-05-02,P5Y6M,no,no
0603927919-0603927914,omid:br/0603927919,omid:br/0603927914,2017-05-02,P2Y1M20D,yes,no
0604904485-06101696600,omid:br/0604904485,omid:br/06101696600,2024-12-23,P11Y2M,no,no
0604904485-061702418579,omid:br/0604904485,omid:br/061702418579,2024-12-23,P12Y,no,no
0604906879-06102953563,omid:br/0604906879,omid:br/06102953563,2024-12-23,P12Y,no,no
0604906879-06101678061,omid:br/0604906879,omid:br/06101678061,2024-12-23,P9Y,no,no
0604906879-061902259554,omid:br/0604906879,omid:br/061902259554,2024-12-23,P8Y7M5D,no,no
0604906879-061901761194,omid:br/0604906879,omid:br/061901761194,2024-12-23,P7Y,no,no
0604906879-06702137759,omid:br/0604906879,omid:br/06702137759,2024-12-23,P5Y1M5D,no,no
0604906879-0605721976,omid:br/0604906879,omid:br/0605721976,2024-12-23,,no,no
0604906879-062201974396,omid:br/0604906879,omid:br/062201974396,2024-12-23,P8Y2M22D,no,no
0604944107-06702192896,omid:br/0604944107,omid:br/06702192896,2025-01-03,P16Y,no,no
0604944107-06801162149,omid:br/0604944107,omid:br/06801162149,2025-01-03,P3Y0M7D,yes,no
0604944107-062402086128,omid:br/0604944107,omid:br/062402086128,2025-01-03,P4Y7M30D,no,no
0604944107-061503486683,omid:br/0604944107,omid:br/061503486683,2025-01-03,P2Y11M9D,no,no
0604944107-06902780912,omid:br/0604944107,omid:br/06902780912,2025-01-03,P24Y,no,no
0604944107-0639089237,omid:br/0604944107,omid:br/0639089237,2025-01-03,,no,no
0604944107-06804357014,omid:br/0604944107,omid:br/06804357014,2025-01-03,P1Y8M22D,yes,no
0604944107-06801162501,omid:br/0604944107,omid:br/06801162501,2025-01-03,P22Y10M,yes,no
0604944107-06801272698,omid:br/0604944107,omid:br/06801272698,2025-01-03,P4Y7M12D,no,no
0604944107-062602177384,omid:br/0604944107,omid:br/062602177384,2025-01-03,P13Y,no,no
0604944107-062202200493,omid:br/0604944107,omid:br/062202200493,2025-01-03,P8Y7M0D,no,no
0604944107-061201936072,omid:br/0604944107,omid:br/061201936072,2025-01-03,P8Y3M16D,no,no
0604944107-0625098787,omid:br/0604944107,omid:br/0625098787,2025-01-03,P2Y11M22D,no,no
0604944107-061201935642,omid:br/0604944107,omid:br/061201935642,2025-01-03,P2Y9M22D,no,no
0604944107-062103107544,omid:br/0604944107,omid:br/062103107544,2025-01-03,P7Y5M27D,no,no
0604944107-06801577270,omid:br/0604944107,omid:br/06801577270,2025-01-03,P11Y9M,no,no
0604944107-06102639537,omid:br/0604944107,omid:br/06102639537,2025-01-03,P9Y,no,no
0604944107-061101211766,omid:br/0604944107,omid:br/061101211766,2025-01-03,P25Y8M,no,no
0604944107-062202191255,omid:br/0604944107,omid:br/062202191255,2025-01-03,P6Y4M27D,no,no
0604944107-06801162318,omid:br/0604944107,omid:br/06801162318,2025-01-03,P11Y8M15D,yes,no
0604944107-06801162214,omid:br/0604944107,omid:br/06801162214,2025-01-03,P5Y7M24D,yes,no
0604944107-061301906198,omid:br/0604944107,omid:br/061301906198,2025-01-03,P10Y11M6D,no,no
0604944107-06801162335,omid:br/0604944107,omid:br/06801162335,2025-01-03,P12Y6M6D,yes,no
0605199786-061301437736,omid:br/0605199786,omid:br/061301437736,2024-12-01,P5Y,no,no
0605199786-06310521239,omid:br/0605199786,omid:br/06310521239,2024-12-01,,no,no
0605223587-061501530801,omid:br/0605223587,omid:br/061501530801,2024-12-30,P2Y7M,no,no
0605223587-0604807722,omid:br/0605223587,omid:br/0604807722,2024-12-30,,no,no
0605223587-06280102731,omid:br/0605223587,omid:br/06280102731,2024-12-30,,no,no
0605223587-061104027944,omid:br/0605223587,omid:br/061104027944,2024-12-30,P1Y,no,no
0605223587-061501017754,omid:br/0605223587,omid:br/061501017754,2024-12-30,P3Y0M,no,no
0605223587-06202535011,omid:br/0605223587,omid:br/06202535011,2024-12-30,P3Y5M,no,no
0605223587-061802102466,omid:br/0605223587,omid:br/061802102466,2024-12-30,P4Y8M22D,no,no
0605223587-06140248468,omid:br/0605223587,omid:br/06140248468,2024-12-30,P2Y7M,no,no
0605457903-062201629261,omid:br/0605457903,omid:br/062201629261,2025-03-22,P2Y10M18D,no,no
0605457903-062302660199,omid:br/0605457903,omid:br/062302660199,2025-03-22,P22Y4M,no,no
0605457903-062201629361,omid:br/0605457903,omid:br/062201629361,2025-03-22,P4Y8M19D,no,no
0605457903-06260647009,omid:br/0605457903,omid:br/06260647009,2025-03-22,P3Y4M4D,no,no
0605457903-062201629260,omid:br/0605457903,omid:br/062201629260,2025-03-22,P2Y10M18D,no,no
0605457903-061603880084,omid:br/0605457903,omid:br/061603880084,2025-03-22,,no,no
0605457903-06120904395,omid:br/0605457903,omid:br/06120904395,2025-03-22,P16Y2M,no,no
0605457903-06902683354,omid:br/0605457903,omid:br/06902683354,2025-03-22,P11Y4M2D,no,no
0605457903-061402146760,omid:br/0605457903,omid:br/061402146760,2025-03-22,P17Y2M22D,no,no
0605457903-062201629296,omid:br/0605457903,omid:br/062201629296,2025-03-22,P3Y8M18D,no,no
0605457903-063047579,omid:br/0605457903,omid:br/063047579,2025-03-22,P7Y,no,no
0605457903-062201629399,omid:br/0605457903,omid:br/062201629399,2025-03-22,P5Y2M20D,no,no
0605457903-062201629738,omid:br/0605457903,omid:br/062201629738,2025-03-22,P13Y4M,no,no
0605457903-0606713140,omid:br/0605457903,omid:br/0606713140,2025-03-22,,no,no
0605457903-061802416886,omid:br/0605457903,omid:br/061802416886,2025-03-22,P9Y2M14D,no,no
0605457903-06302240516,omid:br/0605457903,omid:br/06302240516,2025-03-22,P6Y8M3D,no,no
0605457903-061402146092,omid:br/0605457903,omid:br/061402146092,2025-03-22,P18Y2M22D,no,no
0605457903-06260647379,omid:br/0605457903,omid:br/06260647379,2025-03-22,P7Y8M3D,no,no
0605457903-06803181981,omid:br/0605457903,omid:br/06803181981,2025-03-22,P35Y9M,no,no
0605457903-062402334424,omid:br/0605457903,omid:br/062402334424,2025-03-22,P6Y10M26D,no,no
0605457903-06801417236,omid:br/0605457903,omid:br/06801417236,2025-03-22,P12Y1M14D,no,no
0605457903-06330568073,omid:br/0605457903,omid:br/06330568073,2025-03-22,P0Y6M20D,no,no
0605457903-06603131482,omid:br/0605457903,omid:br/06603131482,2025-03-22,P12Y3M,no,no
0605457903-062301926045,omid:br/0605457903,omid:br/062301926045,2025-03-22,P3Y4M24D,no,no
0605457903-061702301265,omid:br/0605457903,omid:br/061702301265,2025-03-22,P12Y3M2D,no,no
0605457903-062201629284,omid:br/0605457903,omid:br/062201629284,2025-03-22,P3Y3M9D,no,no
0605457903-06180389585,omid:br/0605457903,omid:br/06180389585,2025-03-22,P15Y11M,no,no
0605457903-06360129927,omid:br/0605457903,omid:br/06360129927,2025-03-22,P1Y8M1D,no,no
0605457903-062402645458,omid:br/0605457903,omid:br/062402645458,2025-03-22,P14Y,no,no
0605457903-062202191203,omid:br/0605457903,omid:br/062202191203,2025-03-22,P12Y5M13D,no,no
0605457903-0606559499,omid:br/0605457903,omid:br/0606559499,2025-03-22,,no,no
0605457903-06140408212,omid:br/0605457903,omid:br/06140408212,2025-03-22,P16Y3M,no,no
0605457903-062101118905,omid:br/0605457903,omid:br/062101118905,2025-03-22,P6Y0M16D,no,no
0605457903-0607622952,omid:br/0605457903,omid:br/0607622952,2025-03-22,P0Y0M26D,no,no
0605457903-062602658332,omid:br/0605457903,omid:br/062602658332,2025-03-22,P9Y6M21D,no,no
0605457903-06404848782,omid:br/0605457903,omid:br/06404848782,2025-03-22,P0Y11M18D,no,no
0605457903-06103076054,omid:br/0605457903,omid:br/06103076054,2025-03-22,P5Y10M7D,no,no
0605457903-06104719222,omid:br/0605457903,omid:br/06104719222,2025-03-22,,no,no
0605457903-06120164105,omid:br/0605457903,omid:br/06120164105,2025-03-22,P33Y8M,no,no
0605457903-062601189993,omid:br/0605457903,omid:br/062601189993,2025-03-22,P17Y11M,no,no
0605457903-062403445866,omid:br/0605457903,omid:br/062403445866,2025-03-22,P2Y6M13D,no,no
0605457903-06340422919,omid:br/0605457903,omid:br/06340422919,2025-03-22,,no,no
0605457903-062201935598,omid:br/0605457903,omid:br/062201935598,2025-03-22,P4Y10M22D,no,no
0605457903-06190936318,omid:br/0605457903,omid:br/06190936318,2025-03-22,P16Y0M21D,no,no
0605457903-0620820073,omid:br/0605457903,omid:br/0620820073,2025-03-22,P3Y3M,no,no
0605457903-061602301894,omid:br/0605457903,omid:br/061602301894,2025-03-22,P12Y3M2D,no,no
0605457903-062602414276,omid:br/0605457903,omid:br/062602414276,2025-03-22,P3Y6M13D,no,no
0605457903-06220824029,omid:br/0605457903,omid:br/06220824029,2025-03-22,P5Y7M,no,no
0605457903-0605524463,omid:br/0605457903,omid:br/0605524463,2025-03-22,P0Y1M12D,no,no
0605457903-06201271452,omid:br/0605457903,omid:br/06201271452,2025-03-22,P6Y10M12D,no,no
0605457903-0660792483,omid:br/0605457903,omid:br/0660792483,2025-03-22,P27Y5M,no,no
0605457903-061202150154,omid:br/0605457903,omid:br/061202150154,2025-03-22,P16Y3M,no,no
0605457903-061702301160,omid:br/0605457903,omid:br/061702301160,2025-03-22,P12Y3M2D,no,no
0605457903-06270508701,omid:br/0605457903,omid:br/06270508701,2025-03-22,,no,no
0605457903-061503921172,omid:br/0605457903,omid:br/061503921172,2025-03-22,P1Y10M19D,no,no
0605457903-062501821823,omid:br/0605457903,omid:br/062501821823,2025-03-22,P4Y1M13D,no,no
0605457903-06602045914,omid:br/0605457903,omid:br/06602045914,2025-03-22,P4Y3M22D,no,no
0605457903-062302805477,omid:br/0605457903,omid:br/062302805477,2025-03-22,P13Y,no,no
0605457903-062201935614,omid:br/0605457903,omid:br/062201935614,2025-03-22,P4Y10M22D,no,no
0605457903-06902675008,omid:br/0605457903,omid:br/06902675008,2025-03-22,P10Y,no,no
0605476459-06202939399,omid:br/0605476459,omid:br/06202939399,2024-12-11,P12Y,no,no
0605476459-061703282535,omid:br/0605476459,omid:br/061703282535,2024-12-11,P16Y11M28D,no,no
0605476459-061702418571,omid:br/0605476459,omid:br/061702418571,2024-12-11,P12Y,no,no
0605476459-061702418570,omid:br/0605476459,omid:br/061702418570,2024-12-11,P12Y,no,no
0605476459-06202211221,omid:br/0605476459,omid:br/06202211221,2024-12-11,P6Y,no,no
0605476459-06602775757,omid:br/0605476459,omid:br/06602775757,2024-12-11,P10Y,no,no
0605476459-0626050312,omid:br/0605476459,omid:br/0626050312,2024-12-11,P3Y9M27D,no,no
0605476459-06103331554,omid:br/0605476459,omid:br/06103331554,2024-12-11,,no,no
0605476459-06460165922,omid:br/0605476459,omid:br/06460165922,2024-12-11,,no,no
0605476459-061301918138,omid:br/0605476459,omid:br/061301918138,2024-12-11,P4Y1M11D,no,no
0605476459-062202243913,omid:br/0605476459,omid:br/062202243913,2024-12-11,P8Y6M23D,no,no
0605476459-06104454960,omid:br/0605476459,omid:br/06104454960,2024-12-11,,no,no
0605476459-06803143046,omid:br/0605476459,omid:br/06803143046,2024-12-11,P11Y0M27D,no,no
0605476459-06502503993,omid:br/0605476459,omid:br/06502503993,2024-12-11,P6Y0M26D,no,no
0605476459-061702602038,omid:br/0605476459,omid:br/061702602038,2024-12-11,P9Y,no,no
0605476459-0619045737,omid:br/0605476459,omid:br/0619045737,2024-12-11,P3Y8M17D,no,no
0605476459-06103331493,omid:br/0605476459,omid:br/06103331493,2024-12-11,,no,no
0605510445-0606594204,omid:br/0605510445,omid:br/0606594204,2025-03-10,P0Y2M,no,no
0605515407-06360150179,omid:br/0605515407,omid:br/06360150179,2025,P2Y,no,no
0605515407-061802469212,omid:br/0605515407,omid:br/061802469212,2025,P4Y,no,no
0605515407-0607843381,omid:br/0605515407,omid:br/0607843381,2025,,no,no
0605515407-061201569768,omid:br/0605515407,omid:br/061201569768,2025,P6Y,no,no
0605515407-06604345452,omid:br/0605515407,omid:br/06604345452,2025,P1Y,no,no
0605515407-061902938629,omid:br/0605515407,omid:br/061902938629,2025,,no,no
0605515407-066060684,omid:br/0605515407,omid:br/066060684,2025,P15Y,no,no
0605515407-061803923120,omid:br/0605515407,omid:br/061803923120,2025,P1Y,no,no
0605515407-06101490776,omid:br/0605515407,omid:br/06101490776,2025,P9Y,no,no
0605515407-061304228367,omid:br/0605515407,omid:br/061304228367,2025,P0Y,no,no
0605515407-061704312304,omid:br/0605515407,omid:br/061704312304,2025,P0Y,no,no
0605515407-06180548031,omid:br/0605515407,omid:br/06180548031,2025,P11Y,no,no
0605515407-061204271336,omid:br/0605515407,omid:br/061204271336,2025,P0Y,no,no
0605515407-061204271345,omid:br/0605515407,omid:br/061204271345,2025,P0Y,no,no
0605515407-062302987300,omid:br/0605515407,omid:br/062302987300,2025,P12Y,no,no
0605515407-062604384884,omid:br/0605515407,omid:br/062604384884,2025,P0Y,no,no
0605515407-061702009925,omid:br/0605515407,omid:br/061702009925,2025,P7Y,no,no
0605515407-062604384701,omid:br/0605515407,omid:br/062604384701,2025,P0Y,no,no
0605515407-062404294782,omid:br/0605515407,omid:br/062404294782,2025,P1Y,no,no
0605515407-0607843380,omid:br/0605515407,omid:br/0607843380,2025,,no,no
0605539603-062501605297,omid:br/0605539603,omid:br/062501605297,2024-12-15,P2Y6M15D,no,no
0605539603-06104654225,omid:br/0605539603,omid:br/06104654225,2024-12-15,,no,no
0605539603-061602662661,omid:br/0605539603,omid:br/061602662661,2024-12-15,P12Y,no,no
0605539603-06801162149,omid:br/0605539603,omid:br/06801162149,2024-12-15,P2Y11M18D,no,no
0605539603-061202618673,omid:br/0605539603,omid:br/061202618673,2024-12-15,P9Y,no,no
0605539603-0608068833,omid:br/0605539603,omid:br/0608068833,2024-12-15,,no,no
0605539603-061702147268,omid:br/0605539603,omid:br/061702147268,2024-12-15,P9Y5M29D,no,no
0605539603-06103169643,omid:br/0605539603,omid:br/06103169643,2024-12-15,P12Y,no,no
0605539603-06303277534,omid:br/0605539603,omid:br/06303277534,2024-12-15,P31Y6M,no,no
0605539603-0630148842,omid:br/0605539603,omid:br/0630148842,2024-12-15,P22Y6M,no,no
0605539603-06804363355,omid:br/0605539603,omid:br/06804363355,2024-12-15,,no,no
0605539603-061102892844,omid:br/0605539603,omid:br/061102892844,2024-12-15,P24Y,no,no
0605539603-06120970978,omid:br/0605539603,omid:br/06120970978,2024-12-15,P20Y5M,no,no
0605539603-06903002178,omid:br/0605539603,omid:br/06903002178,2024-12-15,P12Y5M20D,no,no
0605539603-0613052321,omid:br/0605539603,omid:br/0613052321,2024-12-15,P9Y,no,no
0605539603-0616067157,omid:br/0605539603,omid:br/0616067157,2024-12-15,P33Y6M,no,no
0605552909-06102953587,omid:br/0605552909,omid:br/06102953587,2024-03-31,P12Y,no,no
0605552909-06802923711,omid:br/0605552909,omid:br/06802923711,2024-03-31,P8Y4M4D,no,no
0605552909-06802558424,omid:br/0605552909,omid:br/06802558424,2024-03-31,P8Y4M19D,no,no
0605552909-062602205667,omid:br/0605552909,omid:br/062602205667,2024-03-31,P5Y0M30D,no,no
0605552909-061503827670,omid:br/0605552909,omid:br/061503827670,2024-03-31,,no,no
0605552909-06603077350,omid:br/0605552909,omid:br/06603077350,2024-03-31,P9Y,no,no
0605552909-06160492706,omid:br/0605552909,omid:br/06160492706,2024-03-31,P9Y0M30D,no,no
0605552909-062501930117,omid:br/0605552909,omid:br/062501930117,2024-03-31,P3Y8M23D,no,no
0605655613-0605805483,omid:br/0605655613,omid:br/0605805483,2025-02-06,,no,no
0605655613-062302672435,omid:br/0605655613,omid:br/062302672435,2025-02-06,P33Y,no,no
0605655613-0605805484,omid:br/0605655613,omid:br/0605805484,2025-02-06,,no,no
0605655613-06440128016,omid:br/0605655613,omid:br/06440128016,2025-02-06,P1Y9M11D,no,no
0605655613-06803079892,omid:br/0605655613,omid:br/06803079892,2025-02-06,P11Y,no,yes
0605655613-06703843383,omid:br/0605655613,omid:br/06703843383,2025-02-06,P23Y1M1D,no,no
0605655613-06110919730,omid:br/0605655613,omid:br/06110919730,2025-02-06,P19Y9M2D,no,yes
0605655613-0612059876,omid:br/0605655613,omid:br/0612059876,2025-02-06,P32Y,no,no
0605655613-0624049815,omid:br/0605655613,omid:br/0624049815,2025-02-06,P8Y,no,no
0605655613-062601965717,omid:br/0605655613,omid:br/062601965717,2025-02-06,P6Y8M26D,yes,yes
0605655613-06602451840,omid:br/0605655613,omid:br/06602451840,2025-02-06,P5Y2M3D,no,no
0605655613-062603096074,omid:br/0605655613,omid:br/062603096074,2025-02-06,P40Y7M30D,no,no
0605655613-061702147268,omid:br/0605655613,omid:br/061702147268,2025-02-06,P9Y7M21D,no,no
0605655613-06420124257,omid:br/0605655613,omid:br/06420124257,2025-02-06,P1Y4M18D,no,no
0605655613-061904425627,omid:br/0605655613,omid:br/061904425627,2025-02-06,,no,no
0605655613-061601442790,omid:br/0605655613,omid:br/061601442790,2025-02-06,P18Y4M7D,no,no
0605655613-06350420667,omid:br/0605655613,omid:br/06350420667,2025-02-06,,no,no
0605655613-0613047275,omid:br/0605655613,omid:br/0613047275,2025-02-06,P8Y,no,no
0605655613-06701087182,omid:br/0605655613,omid:br/06701087182,2025-02-06,P11Y,no,no
0605655613-06502238279,omid:br/0605655613,omid:br/06502238279,2025-02-06,P7Y8M5D,no,no
0605655613-06430189230,omid:br/0605655613,omid:br/06430189230,2025-02-06,P1Y8M,no,no
0605655613-062059905,omid:br/0605655613,omid:br/062059905,2025-02-06,P15Y,no,no
0605655613-06502976480,omid:br/0605655613,omid:br/06502976480,2025-02-06,P11Y,no,no
0605655613-0605805485,omid:br/0605655613,omid:br/0605805485,2025-02-06,,no,no
0605655613-062604266507,omid:br/0605655613,omid:br/062604266507,2025-02-06,P0Y10M,no,no
0605907824-061801180701,omid:br/0605907824,omid:br/061801180701,2024-12-13,P8Y0M8D,no,no
0605907824-061803919828,omid:br/0605907824,omid:br/061803919828,2024-12-13,P1Y4M16D,no,no
0605907824-061302631940,omid:br/0605907824,omid:br/061302631940,2024-12-13,P6Y2M24D,no,no
0605907824-0605986811,omid:br/0605907824,omid:br/0605986811,2024-12-13,,yes,yes
0605907824-061303578227,omid:br/0605907824,omid:br/061303578227,2024-12-13,,yes,yes
0605907824-061202418806,omid:br/0605907824,omid:br/061202418806,2024-12-13,P14Y11M,no,no
0605907824-06210737007,omid:br/0605907824,omid:br/06210737007,2024-12-13,P15Y6M,no,no
0605907824-061204238791,omid:br/0605907824,omid:br/061204238791,2024-12-13,,yes,yes
0605907824-061703106030,omid:br/0605907824,omid:br/061703106030,2024-12-13,P8Y7M10D,no,no
0605907824-06701184377,omid:br/0605907824,omid:br/06701184377,2024-12-13,P10Y0M26D,no,no
0605907824-0605986812,omid:br/0605907824,omid:br/0605986812,2024-12-13,,yes,yes
0605907824-0690219012,omid:br/0605907824,omid:br/0690219012,2024-12-13,P6Y2M,no,no
0605907824-06190547793,omid:br/0605907824,omid:br/06190547793,2024-12-13,P14Y1M24D,no,no
0605907824-06604275807,omid:br/0605907824,omid:br/06604275807,2024-12-13,P2Y0M21D,yes,no
0605907824-06210736953,omid:br/0605907824,omid:br/06210736953,2024-12-13,P9Y11M,no,no
0605907824-0690219109,omid:br/0605907824,omid:br/0690219109,2024-12-13,P6Y8M,no,no
0606003673-061201936030,omid:br/0606003673,omid:br/061201936030,2021-06-24,P3Y11M17D,no,no
0606003673-06801682866,omid:br/0606003673,omid:br/06801682866,2021-06-24,P8Y,no,no
0606003673-061401016440,omid:br/0606003673,omid:br/061401016440,2021-06-24,P12Y4M,no,no
0606003673-06602136040,omid:br/0606003673,omid:br/06602136040,2021-06-24,P6Y9M22D,no,no
0606003673-06501425170,omid:br/0606003673,omid:br/06501425170,2021-06-24,P4Y0M,no,no
0606003673-06210441528,omid:br/0606003673,omid:br/06210441528,2021-06-24,P6Y6M16D,no,no
0606003673-0636029766,omid:br/0606003673,omid:br/0636029766,2021-06-24,P5Y6M23D,no,no
0606003673-0627042770,omid:br/0606003673,omid:br/0627042770,2021-06-24,P9Y5M5D,no,no
0606003673-062101515969,omid:br/0606003673,omid:br/062101515969,2021-06-24,P7Y8M2D,no,no
0606003673-06501274510,omid:br/0606003673,omid:br/06501274510,2021-06-24,P27Y,no,no
0606003673-061401599538,omid:br/0606003673,omid:br/061401599538,2021-06-24,P2Y11M,no,no
0606003673-06303144641,omid:br/0606003673,omid:br/06303144641,2021-06-24,P2Y6M18D,no,no
0606003673-0640963983,omid:br/0606003673,omid:br/0640963983,2021-06-24,P28Y0M,no,no
0606003673-06501129768,omid:br/0606003673,omid:br/06501129768,2021-06-24,P14Y6M,no,no
0606003673-06501583456,omid:br/0606003673,omid:br/06501583456,2021-06-24,P6Y5M,no,no
0606003673-061601010410,omid:br/0606003673,omid:br/061601010410,2021-06-24,P7Y,no,no
0606003673-061702590984,omid:br/0606003673,omid:br/061702590984,2021-06-24,P2Y10M2D,no,no
0606003673-06801009614,omid:br/0606003673,omid:br/06801009614,2021-06-24,P9Y0M6D,no,no
0606003673-0606625131,omid:br/0606003673,omid:br/0606625131,2021-06-24,,no,no
0606003673-0610850278,omid:br/0606003673,omid:br/0610850278,2021-06-24,P3Y,no,no
0606003673-062101041023,omid:br/0606003673,omid:br/062101041023,2021-06-24,P3Y4M,no,no
0606003673-06170457895,omid:br/0606003673,omid:br/06170457895,2021-06-24,P2Y6M23D,no,no
0606003673-06250487360,omid:br/0606003673,omid:br/06250487360,2021-06-24,P19Y4M,no,no
0606003673-062102880199,omid:br/0606003673,omid:br/062102880199,2021-06-24,P7Y1M23D,no,no
0606003673-06120223991,omid:br/0606003673,omid:br/06120223991,2021-06-24,P29Y4M,no,no
0606003673-062602642905,omid:br/0606003673,omid:br/062602642905,2021-06-24,P24Y0M,no,no
0606003673-06201307747,omid:br/0606003673,omid:br/06201307747,2021-06-24,P10Y2M,no,no
0606003673-06703466684,omid:br/0606003673,omid:br/06703466684,2021-06-24,P8Y5M13D,no,no
0606003673-06201209355,omid:br/0606003673,omid:br/06201209355,2021-06-24,P41Y5M,no,no
0606003673-061402073452,omid:br/0606003673,omid:br/061402073452,2021-06-24,P3Y7M15D,no,no
0606003673-0680100720,omid:br/0606003673,omid:br/0680100720,2021-06-24,P1Y9M,no,no
0606003673-06170651070,omid:br/0606003673,omid:br/06170651070,2021-06-24,P1Y0M23D,no,no
0606003673-06240150553,omid:br/0606003673,omid:br/06240150553,2021-06-24,P2Y1M26D,no,no
0606003673-061503165396,omid:br/0606003673,omid:br/061503165396,2021-06-24,P11Y0M,no,no
0606003673-06301600301,omid:br/0606003673,omid:br/06301600301,2021-06-24,P70Y8M23D,no,no
0606003673-0620109431,omid:br/0606003673,omid:br/0620109431,2021-06-24,P12Y8M,no,no
0606003673-06801132515,omid:br/0606003673,omid:br/06801132515,2021-06-24,P7Y1M23D,no,no
0606003673-062102334307,omid:br/0606003673,omid:br/062102334307,2021-06-24,P2Y10M17D,no,no
0606003673-062201394692,omid:br/0606003673,omid:br/062201394692,2021-06-24,P3Y,no,no
0606003673-06501354187,omid:br/0606003673,omid:br/06501354187,2021-06-24,P6Y,no,no
0606003673-0606625132,omid:br/0606003673,omid:br/0606625132,2021-06-24,,no,no
0606003673-061402073424,omid:br/0606003673,omid:br/061402073424,2021-06-24,P2Y11M13D,no,no
0606003673-062504210373,omid:br/0606003673,omid:br/062504210373,2021-06-24,,no,no
0606003673-062301247156,omid:br/0606003673,omid:br/062301247156,2021-06-24,P17Y0M,no,no
0606003673-0660681080,omid:br/0606003673,omid:br/0660681080,2021-06-24,P2Y3M,no,no
0606003673-062102880207,omid:br/0606003673,omid:br/062102880207,2021-06-24,P7Y1M23D,no,no
0606003673-062601425702,omid:br/0606003673,omid:br/062601425702,2021-06-24,P5Y7M19D,no,no
0606003673-06501129505,omid:br/0606003673,omid:br/06501129505,2021-06-24,P3Y8M22D,no,no
0606003673-0620287336,omid:br/0606003673,omid:br/0620287336,2021-06-24,P6Y10M5D,no,no
0606003673-06804864485,omid:br/0606003673,omid:br/06804864485,2021-06-24,,no,no
0606003673-06801132509,omid:br/0606003673,omid:br/06801132509,2021-06-24,P9Y1M23D,no,no
0606003673-061701738852,omid:br/0606003673,omid:br/061701738852,2021-06-24,P7Y2M27D,no,no
0606003673-061201362479,omid:br/0606003673,omid:br/061201362479,2021-06-24,P6Y5M25D,no,no
0606003673-06220235134,omid:br/0606003673,omid:br/06220235134,2021-06-24,P33Y,no,no
0606003673-061401349821,omid:br/0606003673,omid:br/061401349821,2021-06-24,P13Y,no,no
0606003673-061602211690,omid:br/0606003673,omid:br/061602211690,2021-06-24,P7Y6M23D,no,no
0606003673-06220163391,omid:br/0606003673,omid:br/06220163391,2021-06-24,P3Y8M22D,no,no
0606003673-06801682769,omid:br/0606003673,omid:br/06801682769,2021-06-24,P2Y,no,no
0606003673-0606625130,omid:br/0606003673,omid:br/0606625130,2021-06-24,,no,no
0606003673-061301279979,omid:br/0606003673,omid:br/061301279979,2021-06-24,P3Y11M28D,no,no
0606003673-062402434527,omid:br/0606003673,omid:br/062402434527,2021-06-24,P4Y,no,no
0606003673-061101713490,omid:br/0606003673,omid:br/061101713490,2021-06-24,P3Y8M11D,no,no
0606003673-061201434642,omid:br/0606003673,omid:br/061201434642,2021-06-24,P8Y,no,no
0606003673-062102880266,omid:br/0606003673,omid:br/062102880266,2021-06-24,P10Y1M23D,no,no
0606003673-0606625129,omid:br/0606003673,omid:br/0606625129,2021-06-24,,no,no
0606003673-06801801281,omid:br/0606003673,omid:br/06801801281,2021-06-24,P12Y3M23D,no,no
0606003673-06401804137,omid:br/0606003673,omid:br/06401804137,2021-06-24,P8Y9M,no,no
0606003673-062103010526,omid:br/0606003673,omid:br/062103010526,2021-06-24,P6Y8M2D,no,no
0606003673-06401590284,omid:br/0606003673,omid:br/06401590284,2021-06-24,P23Y,no,no
0606003673-062402422157,omid:br/0606003673,omid:br/062402422157,2021-06-24,P7Y,no,no
0606003673-062301184011,omid:br/0606003673,omid:br/062301184011,2021-06-24,P7Y1M8D,no,no
0606003673-062601056745,omid:br/0606003673,omid:br/062601056745,2021-06-24,P16Y3M,no,no
0606003691-061201936030,omid:br/0606003691,omid:br/061201936030,2021-06-24,P3Y11M17D,no,no
0606003691-06801682866,omid:br/0606003691,omid:br/06801682866,2021-06-24,P8Y,no,no
0606003691-061401016440,omid:br/0606003691,omid:br/061401016440,2021-06-24,P12Y4M,no,no
0606003691-06602136040,omid:br/0606003691,omid:br/06602136040,2021-06-24,P6Y9M22D,no,no
0606003691-06501425170,omid:br/0606003691,omid:br/06501425170,2021-06-24,P4Y0M,no,no
0606003691-06210441528,omid:br/0606003691,omid:br/06210441528,2021-06-24,P6Y6M16D,no,no
0606003691-0636029766,omid:br/0606003691,omid:br/0636029766,2021-06-24,P5Y6M23D,no,no
0606003691-0627042770,omid:br/0606003691,omid:br/0627042770,2021-06-24,P9Y5M5D,no,no
